Category,Subcategory
Capital Goods,Lab Equipment 
Capital Goods,Software
Capital Goods,Tools
Academic,Consumables
Academic,Maintance and service
Academic,Calibration
Academic,online course
Academic,Learninig materials
Academic,ICT tools
Academic,online platforms
Academic,sponsorship to faculty for participation
Academic,sponsorship to student for participation
Academic,Training and Travel
Research  and Development, Research center
Research  and Development,Innovation
Research  and Development,Interaction with Industry
Research  and Development,MOU
Research  and Development,COE
Research  and Development,Start-ups
Research  and Development,IPR
Research  and Development,Copyright
Research  and Development,Conferences
Research  and Development,Patent filing
Research  and Development,Consultancy
Research  and Development,Project
Research  and Development,Incentive 
Research  and Development,Workshops
Research  and Development,Seminars
Research  and Development,FDP
Research  and Development,Prototype development
Research  and Development,travel 
Recurring items,Lab Consumables
Recurring items,Maintenance
Recurring items,Services
Recurring items,Spares
Recurring items, Licences 
Recurring items,AMC 
Co-Curricular activities,Professional Societies
Co-Curricular activities,Association activities
Co-Curricular activities,Magazine
Co-Curricular activities,Newsletter
Co-Curricular activities,Value added courses
Co-Curricular activities,coding platform
Co-Curricular activities,International Certification
Co-Curricular activities,Industrial Visits
Co-Curricular activities,Inplant training
Co-Curricular activities,Internship
Co-Curricular activities,Handbook
Co-Curricular activities,Science dat
Co-Curricular activities,Sponsorship for project
Co-Curricular activities,Guest Lecture 
Faculty Competency,FDP
Faculty Competency,STTP
Faculty Competency,Seminar
Faculty Competency,Webinar
Faculty Competency,Workshop
Faculty Competency,online courses
Faculty Competency,Industrial Visits
Faculty Competency,Inplant training
Training and Placement,Skill development program
Training and Placement,Communication development program
Training and Placement,Personality development program
Training and Placement,Online training platform for Aptitude and programming
Training and Placement,Employability Enchancement program
Training and Placement,Arrangement of On and off placement
Training and Placement,External Training provider
Training and Placement,Visit to Industres
Training and Placement,Organising program
Training and Placement,HR conclave
Training and Placement,Career Guidance program
Extra-curricular,Sports
Extra-curricular,NCC
Extra-curricular,NSS
Extra-curricular,YRC
Extra-curricular,RRC
Extra-curricular,Club
Extra-curricular,EDC
Extra-curricular,IIC
Extra-curricular,NISP
Extra-curricular,Organising events
Governance/Admin,AU Recognition & Registration fees
Governance/Admin,Faculty Recruitment Expenses
Governance/Admin,staff Recruitment Expenses
Governance/Admin,GC
Governance/Admin,Program-College
Governance/Admin,Hostel
Governance/Admin,Sports
Governance/Admin,Graduation day
Governance/Admin,AICTE
Governance/Admin,University
Governance/Admin,Consoritium fee
Governance/Admin,Membership fee
Governance/Admin,ISO
Governance/Admin,NAAc
Governance/Admin,NBA
Governance/Admin,License fire
Governance/Admin,Taxes
Governance/Admin,IITM PALS
Governance/Admin,ICT ACADEMY
Governance/Admin,IUCEE
Governance/Admin,UGC(Autonomous)
Governance/Admin,Advertisement Expenses
Governance/Admin,Admission Promotion
Governance/Admin,Auditing & Accounting Charges
Governance/Admin,Bank charges
Governance/Admin,Extension and Outreach program
General Amenities/Maintance,Electricity Charge
General Amenities/Maintance,Mainatance and solar panel
General Amenities/Maintance,Mainatance -Building
General Amenities/Maintance,Mainatance -Office
General Amenities/Maintance,"Mainatance-General(Garden,Cow, etc)"
General Amenities/Maintance,House keeping
General Amenities/Maintance,Aminities & Infrastructure
General Amenities/Maintance,Support facilities
General Amenities/Maintance,Computing and Communication facilities
General Amenities/Maintance,Innsurance to building
General Amenities/Maintance,Lab Equipments and Students
General Amenities/Maintance,Software renuwal
General Amenities/Maintance,Internet & WiFi
Others,Term loan Interest-IOB & PGB
Others,Pooja and Miscellaneous expenses
Transport,Vechicle fuel
Transport,Maintance and service
Transport,Insurance and Tax
Expenditure,Salary
Expenditure,Wagers and Employers Contripution to PF & ESI
Expenditure,Pre-Employment medical Expenses
Expenditure,Employers welfare & Fee concession
Expenditure,Perks
Expenditure,Employee Insurance
