Academic,Capital Goods,Co-Curricular activities,Expenditure,Extra-curricular,Faculty Competency,General Amenities/Maintance,Governance/Admin,Others,Recurring items,Research  and Development,Training and Placement,Transport
,Lab Equipment ,,,,,,,,,,,
,Software,,,,,,,,,,,
,Tools,,,,,,,,,,,
Consumables,,,,,,,,,,,,
Maintance and service,,,,,,,,,,,,
Calibration,,,,,,,,,,,,
online course,,,,,,,,,,,,
Learninig materials,,,,,,,,,,,,
ICT tools,,,,,,,,,,,,
online platforms,,,,,,,,,,,,
sponsorship to faculty for participation,,,,,,,,,,,,
sponsorship to student for participation,,,,,,,,,,,,
Training and Travel,,,,,,,,,,,,
,,,,,,,,,, Research center,,
,,,,,,,,,,Innovation,,
,,,,,,,,,,Interaction with Industry,,
,,,,,,,,,,MOU,,
,,,,,,,,,,COE,,
,,,,,,,,,,Start-ups,,
,,,,,,,,,,IPR,,
,,,,,,,,,,Copyright,,
,,,,,,,,,,Conferences,,
,,,,,,,,,,Patent filing,,
,,,,,,,,,,Consultancy,,
,,,,,,,,,,Project,,
,,,,,,,,,,Incentive ,,
,,,,,,,,,,Workshops,,
,,,,,,,,,,Seminars,,
,,,,,,,,,,FDP,,
,,,,,,,,,,Prototype development,,
,,,,,,,,,,travel ,,
,,,,,,,,,Lab Consumables,,,
,,,,,,,,,Maintenance,,,
,,,,,,,,,Services,,,
,,,,,,,,,Spares,,,
,,,,,,,,, Licences ,,,
,,,,,,,,,AMC ,,,
,,Professional Societies,,,,,,,,,,
,,Association activities,,,,,,,,,,
,,Magazine,,,,,,,,,,
,,Newsletter,,,,,,,,,,
,,Value added courses,,,,,,,,,,
,,coding platform,,,,,,,,,,
,,International Certification,,,,,,,,,,
,,Industrial Visits,,,,,,,,,,
,,Inplant training,,,,,,,,,,
,,Internship,,,,,,,,,,
,,Handbook,,,,,,,,,,
,,Science dat,,,,,,,,,,
,,Sponsorship for project,,,,,,,,,,
,,Guest Lecture ,,,,,,,,,,
,,,,,FDP,,,,,,,
,,,,,STTP,,,,,,,
,,,,,Seminar,,,,,,,
,,,,,Webinar,,,,,,,
,,,,,Workshop,,,,,,,
,,,,,online courses,,,,,,,
,,,,,Industrial Visits,,,,,,,
,,,,,Inplant training,,,,,,,
,,,,,,,,,,,Skill development program,
,,,,,,,,,,,Communication development program,
,,,,,,,,,,,Personality development program,
,,,,,,,,,,,Online training platform for Aptitude and programming,
,,,,,,,,,,,Employability Enchancement program,
,,,,,,,,,,,Arrangement of On and off placement,
,,,,,,,,,,,External Training provider,
,,,,,,,,,,,Visit to Industres,
,,,,,,,,,,,Organising program,
,,,,,,,,,,,HR conclave,
,,,,,,,,,,,Career Guidance program,
,,,,Sports,,,,,,,,
,,,,NCC,,,,,,,,
,,,,NSS,,,,,,,,
,,,,YRC,,,,,,,,
,,,,RRC,,,,,,,,
,,,,Club,,,,,,,,
,,,,EDC,,,,,,,,
,,,,IIC,,,,,,,,
,,,,NISP,,,,,,,,
,,,,Organising events,,,,,,,,
,,,,,,,AU Recognition & Registration fees,,,,,
,,,,,,,Faculty Recruitment Expenses,,,,,
,,,,,,,staff Recruitment Expenses,,,,,
,,,,,,,GC,,,,,
,,,,,,,Program-College,,,,,
,,,,,,,Hostel,,,,,
,,,,,,,Sports,,,,,
,,,,,,,Graduation day,,,,,
,,,,,,,AICTE,,,,,
,,,,,,,University,,,,,
,,,,,,,Consoritium fee,,,,,
,,,,,,,Membership fee,,,,,
,,,,,,,ISO,,,,,
,,,,,,,NAAc,,,,,
,,,,,,,NBA,,,,,
,,,,,,,License fire,,,,,
,,,,,,,Taxes,,,,,
,,,,,,,IITM PALS,,,,,
,,,,,,,ICT ACADEMY,,,,,
,,,,,,,IUCEE,,,,,
,,,,,,,UGC(Autonomous),,,,,
,,,,,,,Advertisement Expenses,,,,,
,,,,,,,Admission Promotion,,,,,
,,,,,,,Auditing & Accounting Charges,,,,,
,,,,,,,Bank charges,,,,,
,,,,,,,Extension and Outreach program,,,,,
,,,,,,Electricity Charge,,,,,,
,,,,,,Mainatance and solar panel,,,,,,
,,,,,,Mainatance -Building,,,,,,
,,,,,,Mainatance -Office,,,,,,
,,,,,,"Mainatance-General(Garden,Cow, etc)",,,,,,
,,,,,,House keeping,,,,,,
,,,,,,Aminities & Infrastructure,,,,,,
,,,,,,Support facilities,,,,,,
,,,,,,Computing and Communication facilities,,,,,,
,,,,,,Innsurance to building,,,,,,
,,,,,,Lab Equipments and Students,,,,,,
,,,,,,Software renuwal,,,,,,
,,,,,,Internet & WiFi,,,,,,
,,,,,,,,Term loan Interest-IOB & PGB,,,,
,,,,,,,,Pooja and Miscellaneous expenses,,,,
,,,,,,,,,,,,Vechicle fuel
,,,,,,,,,,,,Maintance and service
,,,,,,,,,,,,Insurance and Tax
,,,Salary,,,,,,,,,
,,,Wagers and Employers Contripution to PF & ESI,,,,,,,,,
,,,Pre-Employment medical Expenses,,,,,,,,,
,,,Employers welfare & Fee concession,,,,,,,,,
,,,Perks,,,,,,,,,
,,,Employee Insurance,,,,,,,,,
